MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
yqwlwn >nhA ms>lp ms,qlk >fAr ms,qlk w$ >fAr ms,m$wA $wy yqr> qrAn trjE tw}E,byqwlwA AnhA qSp ms
HwAly $hryn w hw yrqyhA,yrqy fyhA jAbhA wAHd Al$hryn,yrqy fAhA jAbhA wAHd Al$hryn,by}wlwA $glp ms,byqwlwA AnhA qSp ms
Amr>p fy brHAl,wHdp fy brHAl,wHdp fy brHAl,HwAly $hryn w hw Em yr}yhA,HwAly $hryn w hw yrqyhA
qtlwhA DrbA hw w >xwhA mAtt AlftAp,qtlwhA bAlDrb hw w xwhA mAtt AlTflp,wHdp fy brHAl,mrA bbrHAl,mrp fy brHAl
AlDrb lys mstHsnA,qtlwhA bAlDrb hw w xwhA mAtt AlTflp,qﺘﻠﻮhA bAlDrb hw w xwhA mAtt AlTflp,}tlwhA mn AlDrb hw w AxwhA mAtt Albnt,qtlwhA Drb hw w >xwhA mAtt Albnt
AlDrb lys mstHsnA,mA$y mlyH AlDrb,m$y mlyH AlDrb,AlDrb mw mstHb,AlDrb m$ kwys
yA Sdyqy >t*kr HAdvp AlmlEb؟,yA wlydy $fyt Elyh tAE AlstAd hdAk,> wldy $fyty Elyh tAE AlstAd >dAk,yA Sdyqy bt*kr HAdvp AlmlEb,yA SAHby btt*kr HAdvp AlmlEb
$ryT l$xS yhtz wHdh، yjry ،yjry w yhtz,Aﻟfywdyw tAE wAHd yrE$ wHdh yjry yjry wyrE$,Aﻟfywdyw tAE wAHd ytnfD wHdw yjry yjry w ytnfD,fy $ryT lwAHd byhz lHAlw byrkd byrkd w byhz,fy $ryT lwAHd yhtz lHAlh yjry yjry w yhtz
*lk Al$xS sknh jAn,hdAk sknh jn hdAk,>dAkA sknw jn >dAk,hAl$xS sknh jn,hdAk AlwAHd sknh jn
hnAk mn yqwlwn >nh mAt w |xrwn yqwlwn >nh jn,kAyn Ally yqwlw mAt w kAyn Ally yqwlw jn,wHAyd yqwlw mAt w wHAyd yqwlw jn,hAl$xS sknh jn,fy Ally byqwlwA mAt w tAnyyn byqwlwA Anh jn
kl wAHd yqwl $y}A mA،  >nA lA >Elm,kl wAHd wA$ yqwl mA  ElAbAly$ >nA,kl wAHd w$ yqwl mA ElY bAly$ >nA,fy nAs by}wlwA mAt w nAs by}wlwA Anw jn,fy Ally byqwlwA mAt w tAnyyn byqwlwA Anh jn
mn Almmkn >n tkwn rwHh,bAlAk AlrwH tAEh,>w blAk AlrwH tyEw,kl wAHd byHky $kl AnA mA bErf,kl wAHd byqwl A$y >nA mA bErf
kyf *lk؟ hl tSEd bh*h AlTryqp,kyfA$؟ tTlE hkA,>w blAk AlrwH tyEw,mmkn tkwn rwHw,mmkn AnhA tkwn rwHh
hl tErf <*A SEdt rwH Almjrm kyf ySbH؟,kyfA$؟ tTlE hkA,kyfmAh tTlE kyfhk,kyf hyk ly$ btTlE bhAlTry}p,kyf hyk hy btTlE bh*h AlTryqp
hl tErf <*A SEdt rwH Almjrm kyf ySbH؟,tErf Almjrm  tTlE rwHh kyfA$ ywly,tErf Almjrm  tTlE rwHw kymAh ywly,btErf <*A TlEt rwH Almjrm  kyf bySyr,Ant btErf <*A TlEt rwH Almjrm  kyf bySyr
yjry ،yjry ،vm tSEd w hw wAqf b$kl EAdy jdA,yjry yjry >wmbEd tTlE w hw wAqf nwrmAl qAE,yjry yjry AmbEd tTlE w hw wAqf nwrmAl xlAh,byrkd byrkd bEdyn btTlE w hw wA}f b$kl EAdy ktyr,yjry yjry bEdyn bTlE w hw wAqf EAdy ktyr
yqAl >n tfsyrhA >nh ystmE <lY dqAt Alqlb،  klmt knt xA}fA >w mtwtrA hnAk <HtmAl >kbr fy >n tms,hw yqwlk tfsyr tAEhA ysmE AldqAt tAE Alqlb kl mA tkwn xAyf wlA mnbrfy AHtmAl kbyr qAdr ttms,hw ﻳqﻠﻚ tfsyr tHA ysmE AldqAt tAE Alqlb kl mA tkwn xAyf wlA mnrfy Endk AHtmAl kbyr qAdr ttms,by}wlwA Anw tfsyrhA bysmE d}At Al}lb kl mA knt xAyf >w mtwtr Endk AHtmAl >ktr Anw tnms,bynqAl Anw tfsyrhA Anw bysmE ldqAt Alqlb lmA tkwn xAyf Aw mtwtr Endk AHtmAl Aktr Anw tnms
yEny >n AljAn yrwn Al$xS AlxA}f,tsmY Aljnwn y$wfwA wAHd xAyf,tsmY Aljnwn y$wfw wAHd xAyf,yEny Aljn by$wfwA Al$xS AlxAyf,yEny Anh Aljn by$wfwA Ally byxAf
<smE kl $y' mtElq bAldyn,>smE kl$ fy Aldyn,>smE Aldyn ly Elyh AlDrb,yEny Aljn by$wfwA Al$xS AlxAyf,<smE kl A$y mtElq bAldyn
lA yErfwn، hnAk >*kAr tqwlhm fyhrb mnk,mA yErfw$ kAyn >dkAr tqwlhm yhrb mnk,mA yErfw$ kAyn >dkAr thdrhm yhrb Elyk,AsmE kl $y mrtbT bAldyn,<smE kl A$y mtElq bAldyn
ymkn >n ytbEk w ymkn >n ydxlwA fy AlsyArAt,kAbﺎbl ytbEk qAdr ydxlh fy AltwmwbylAt,kAbﺎbl ytbEk qAdr ydxlw fy AltwmwbylAt,mA byErfwA fy >dEyp bt}wlhA byhrb mnk,mA byErfwA fy >*kAr btqwlhm fyhrb mnk
AljAn mvlA dA}mA ysknwn fy Al>mAkn AlxAlyp,kymA Aljnwn dAymn ysknwA fy Al>mAkn AlxAlyp,kAbﺎbl ytbEk qAdr ydxlw fy AltwmwbylAt,ymkn ylH}k w ymkn ydxlw AlsyArAt,ymkn Anh ylHqk wymkn yfwtwA fy AlsyArAt
mn hm Al*yn tjdhm fy mkAn xAl mvl AlbHr,kymA Aljnwn dAymn ysknwA fy Al>mAkn AlxAlyp,kymA Aljnwn dymA ysknw fy Al>mAkn AlxAlyp,AljAn mvlA dA}mA bysknwA AlmHlAt AlfADyp,Aljn mvlA dA}mA bysknwA fy Al>mAkn AlfADyp
mn hm Al*yn tjdhm fy mkAn xAl mvl AlbHr,$kw hdwAlly  tlqAhm zEmp fy blASp xAlyp kymA AlbHr,$kwn hwmA >dwm ﺗﻠqﺎhm zEmp fy AlblASp AlxAlyp kymA AlbHr,myn hnn Aly btlA}yhm bmHl fADy mtl AlbHr,myn hmA Ally btlAqyhm fy mkAn fADy zy AlbHr
<smE >nA lA >Erf Er$ Al$yTAn >yn yqE،  >Erf >n hAjwj w mAjwj fy mvlv brmwdA,>smE mA nErf Er$ Al$yTAn wyn nErf hAjwj w mAjwj fy tryywnql dw brmwd,>smE mA nErf Er$ Al$yTAn wyn nErf hAjwj w mAjwj fy tryywnql dw brmwd,AsmE AnA mA bErf Er$ Al$yTAn wyn bykwn bErf Anw yAjwj w m>jwj bmvlv brmwdA,<smE >nA mA bErf Er$ Al$yTAn wyn mkAnh bErf Anh y>jwj w m>jwj fy mvlv brmwdA
lys hAjwj w mAjwj >qSd AlmsyH AldjAl,mA$y hAjwj w mAjwj AlmsyH AldjAl,|h m$y hAjwj w mAjwj AlmsyH AldjAl,mw y>jwj w m>jwj }Sdy AlmsyH AldjAl,m$ y>jwj w m>jwj qSdy AlmsyH AldjAl
mA hw mvlv brmwdA,wA$ hw Altrywnql dw brmwd,w$y hw Altrywnql dw bﺮmwd,$w hw mvlv brmwdA,Ay$ hwA mvlv brmwdA
mkAn fy AlbHr,blASp fy AlbHr,blASp fy AlbHr,$w hw mvlv brmwdA,mkAn fy AlbHr
mn klmk EnhA,$kwn qAlk ElyhA,$kwn qﻠﻚ ElAhA,mHl bAlbHr,mkAn fy AlbHr
lA >Hd yElm yA >xy، EndmA tdxl <lyhA mA*A yHdv lk lm yjdwhA,hdy  mA lqAwh$ kyfA$ yA xwyA ky tdxl ltm wA$ ySrAlk wAHd mA ElY bAlh,>dy Aw mA ﻟqﺎwh$ kyfmAh > xwyA ky tdxl ltm w$ ySrAlk wAHd mA EmbAlw,myn HkAlk Enw,myn qlk ElyhA
<*A mrt TA}rp tsqT w <*A mrt sfynp tgrq،  lkn yqAl hnAk >wqAt tsqT w >wqAt tmr b$kl EAdy,tjwz TyArp tTyH bAbwr ygrq bAlSH qAlk  kAyn >wqAt tTyH w >wqAt yjwz nwrmAl,>dy Aw mA ﻟqﺎwh$ kyfmAh > xwyA ky tdxl ltm w$ ySrAlk wAHd mA EmbAlw,mA HdA byErf yA >xy lmA tfwt Elyh $w bySrlk mA l}whA,mA Hd$ byErf yA >xy lmA tfwtlhA Ay$ bySyrlk mA lAqwhA$
qlt lk AlmsyH AldjAl hnAk fy tlk Aljzyrp,tjwz TyArp tTyH bAbwr ygrq bAlSH qAlk  kAyn >wqAt tTyH w >wqAt yjwz nwrmAl,tEdy TyArp >TyH bAbwr ygrq bSH qlk qAdr qlk kAynp >wqAt yTyH >wqAt yEdy nwrmAl,<*A mrt TyArp btw}E w <*A mrt sfynp btgr' bs by}wlw mrAt btw}E w mrAt btmr b$kl EAdy,<*A mrt TyArp btqE w <*A mrt sfynp btgrq bs bynqAl fy >wqAt btqE w >wqAt tmr b$kl EAdy
qlt lk AlmsyH AldjAl hnAk fy tlk Aljzyrp,qlt lk AlmsyH AldjAl rAh tm fy Aljzyrp,qlt lk AlmsyH AldjAl >w ltm fy Aljzyrp,}ltlk AlmsyH AldjAl bhdyk Aljzyrp,qltlk AlmsyH AldjAl hnAk fy hdyk Aljzyrp
hnAk yA >xy fy mvlv brmwdA,tm yA xwyA fy tryywnql dw brmwd,ltm | xwyA fy tryywnql dw brmwd,hwnyk yA Axy bmvlv brmwdA,hnAk yA >xy fy mvlv brmwdA
qlt lk mn* zmn lA >Elm mn *hb <lY hnAk <AY AlmkAn AlflAny,yA HsrAh qlt lk mA nErf $kwn rAHwA ltm llblASp AlflAnyp,yhwA qlt lk mA nErf $kwn rAHw ltm llblASp AlflAnyp,}ltlk mn zmAn mA bErf rAH rAH llmkAn AlfAny,qltlk mn ftrp mA bErf myn rAH rAH lhnAk llmkAn AlflAny
*hb h&lA' <lY AlmkAn,rAHwA hdwmA llblASp,rAHw >dwmA llblASp,rAHwA hnn llmkAn,rAH hdwlAk llmkAn
lmA *hbwA  wjdwA jzyrp dxlwA fwjdwA khfA,ky rAHwA hkA lqAw jzyrp dxlwA lqAw khf,kymA rAHw hm kymkA ﻟqﺎwA jzyrp x$w ﻟqﺎwA khf,rAHwA hnn llmkAn,lmA rAHw lqw jzyrp fAtw fyhA flqw khf
wjdwA Hyp >SlA,>SlA lqAw Hyp,>SlA ﻟqﺎwA Hyp,lmA rAHwA lA}wA jzyrp fAtwt lA}wA khf,lmA rAHw lqw jzyrp fAtw fyhA flqw khf
fymA bEd wjdwA khfA dxlwA fwjdwA $xSA mkblA bAlslAsl,>wmbEd lqAw khf dxlwA lqAw wAHd mrbwT bAlsnslp,AmbEd ﻟqﺎwA khf x$w ﻟqﺎwA wAHd mrbwT bAlsnslp,lAqwA Hyp >SlA,lqwA Hyp >SlA
nEm,<yh,AmbEd ﻟqﺎwA khf x$w ﻟqﺎwA wAHd mrbwT bAlsnslp,bEdyn lAqwA khf dxlwA flAqwA wAHd mrb~T bAljnAzyr,bEdyn lqwA khf fAtwA fyh flqwA wAHd mrbwT bAlslAsl
w Endh Eyn wAHdp w b$E jdA lwnh >Hmr,<yh,hAh,<y,Ah
w Endh Eyn wAHdp w b$E jdA lwnh >Hmr,w Endh Eyn wHdp w mzEwq yxlE >Hmr,w Endw Eyn wHdp w bA$E yrhj >Hmr,wEndw Eyn wHdp w b$E ktyr lwnw >Hmr,w Endh Eyn wHdp w b$E ktyr lwnh >Hmr
fhmt kyf؟,fhmt kyfA$,fhmty kyfAh,fhmt kyf,fhmt kyf
lmA yftH *lk Al$y' yEny ElAmAt AlsAEp ElAmAt AlqyAmp,ky ytHl hdAk Al$y tsmY ElAmAt AlsAEp ElAmAt AlqyAmp,kymA ytHl >dAkA Al$y tsmA Ay ElAmAt AlsAEp ElAmAt AlqyAmp,lmA yftH hAl$y yEny ElAmAt AlsAEp ElAmAt AlqyAmp,lmA yftH hdAk Al<$y yEny ElAmAt AlsAEp ElAmAt AlqyAmp
lmA y>ty AlmsyH AldjAl yqtlh EysY، yDrbh bsyf ydxl mn hnA w yxrj mn hnA,ky yjy AlmsyH AldjAl yqtlwA EysY yDrb bsyf ydxlh lh mn yxrjhwlh mn,kymA yjy AlmsyH AldjAl ﻳqﺘﻠﻮA EysY yDrblwA syf ydxlhwlw mn yxrjhwlw mn,lmA byjy AlmsyH AldjAl byqtlw EysY bDrbp syf bydxwl hwn w byTlE mn hwn,lmA yjy AlmsyH AldjAl yqtlh EysY yDrbh bsyf yfwt mn hAn w yTlE mn hAn
w lmA*A ydxlh mn hnA؟,hw wElAh  ydxlhwlh mn,hw wElAh HtAn ydxlhwlw mn,lmA byjy AlmsyH AldjAl byqtlw EysY bDrbp syf bydxwl hwn w byTlE mn hwn,w ly$ yfwth mn hAn
yhAjm Almslmyn w Almslmwn hArbwn,ykwn hw ytAky fy Almslmyn w Almslmyn hArbyn,ykwn hw ytAky fy Almslmyn w Almslmyn hArbyn,wly$ bydxlw mn hwn,w ly$ yfwth mn hAn
hnAk ynzl EysY l>n EysY lys mytA mvly w mvlk mrfwE fHsb,>wmbEd tm yhbT EysY bﺎskw EysY mArAhw$ myt kymA AnA kymA Ant mrfwE brk,AmbEd tm yhbT EysY bﺎskw EysY m$w myt kyfy kyfk mrfwE brk,byhAjm Almslmyn w Almslmyn byhrbwA,yhAjm Almslmyn w Almslmyn byhrbwA
fymA bEd ymwt EysY w ySlwn Elyh mvl jmyE AlEbAd,>wmbEd ymwt EysY w ySlyw Elyh kymA AlEbAd kAml,AmbEd tm yhbT EysY bﺎskw EysY m$w myt kyfy kyfk mrfwE brk,sAEthA bynzl EysY l>nw EysY mA mAt mtly w mtlk bs Allh rfEw,hnAk ynzl EysY l>n EysY m$ myt zyy w zyk mrfwE wbs
kl $y' ymwt w hw mslm,>wmbEd ymwt EysY w ySlyw Elyh kymA AlEbAd kAml,w AmbEd ymwt EysY w ySlyw Elyh kymA AlEbAd kl,wbEdhA bymwt EysY w bySlwA Elyh mtl mAbySlwA EAkl AlEbAd,bEd hyk bymwt EysY w bySlwA Elyh zy kl AlEbAd
kl $y' ymwt w hw mslm,kl HAjp tmwt w hw mslm,kl HAjp tmwt w hw mslm,kl $y bymwt w hwy mslm,kl A$y bymwt w hw mslm
Almhm bEdmA ynzl lh EysY lA ymknh >n ynZr <lY EysY fy Alnwr,Almhm >wmbEd ky hbT lyh EysY mA yqdr$ y$wf mE EysY fy Alnwr,mhm AmbEd kymA hbTlw EysY mA yqdr$ y$wf mE EysY fAlnwr,Almhm bEd mAynzl Elyh EysY mAbyqdr ytTlE bEsyY mn qwp Alnwr,Almhm bEd mA ynzlh EysY mA bqdr$ Anh yT~lE ElY EysY fy Alnwr
yHtrq w ydwb lw ynZr <lY EysY ، <*A mA*A yfEl yHwm Hwlh HtY lA yrAh ydxl syfh mn hnA w yxrjh mn hnA,ytHrq w  ydwb lwkAn y$wf fy EysY <ybAn wA$ ydyr ydwr Elyh bA$ mA y$wfw$ ydxlh lh Alsyf mn yxrjhwlh mn,yHrqﻮ ydwb kwn y$wf mE EysY <ybAn w$ ydyr ydwr Elyh bAh mA y$wfw$ ydxlhwlw Alsyf mn yxrjhwlw mn,A*A AtTlE bEysp byHtrq w bydwb l>nw byDl yHwm HwAlyh m$An mAy$wfw w hwy Em ygrz syfw mn hwn w yTAlEw mn hwn,ynHrq w ydwb lw Anh byT~lE ElY EysY <*A Ay$ byEml byHwm HwAlyh E$An mA y$wfw$ yfwt syfh mn hAn w yTlEh mn hAn
hnAk EbArp lA yrAhA <lA Almslmwn,wAHd AlEbArp y$wfwhA gyr Almslmyn,wHd AlEbArp y$wfwhA gyr Almslmyn,fy EbArp mAby$wfhA <lA Almslmyn,fy jmlp mA by$wfhA$ <lA Almslmyn
<smE l>n Allh yETyh qdrAt,>smE bﺎskw yETyh rby qdrAt,>smE bﺎskw yETyh rby qdrAt,fy EbArp mAby$wfhA <lA Almslmyn,<smE l>n rbnA yETyh qdrAt
yqAl >n Endh $y}A fy jbhth yrAhA Alm&mnwn fHsb,qAl lk Endh HAjp fy jbynh y$wfwhA gyr Alm&mnyn,qlk Endw fkrp hnA fy jbhtw y$wfwhA gyr Alm&myn,smAE lAnw Allh byETyh qdrAt,<smE l>n rbnA yETyh qdrAt
yqAl >n Endh $y}A fy jbhth yrAhA Alm&mnwn fHsb >mA AlkAfr flA,<yh qAl lk kAyn wAHd AlHAjp y$wfwhA gyr Almwmnyn AlkAfr lAlA,|h qlk kAyn wHd Alfkrp y$wfwhA gyr Almwmnyn AlkAfr lA,byqwlw >nw Endw $y bjbynw by$wfw bs Almslmyn,bynqAl Anh Endh A$y fy jbhth by$wfhA Alm&mnyn bs
<lA Al*y <ymAnh qwy,gyr ly Al<ymAn tAEh SHyH,|h qlk kAyn wHd Alfkrp y$wfwhA gyr Almwmnyn AlkAfr lA,byqwlw >nw Endw $y bjbynw by$wfw bs Almslmyn >mA AlkAfr fl>,bynqAl Anh Endh A$y fy jbhth by$wfhA Alm&mnyn bs >mA AlkAfr fl>
nEm yqAl >nh ydh$k HtY tnZr <lyh,gyr ly Al<ymAn tAEh SHyH,gyr ly Al<ymAn tyEw qAwy,bs Ally <ymAnw qwy,<lA Ally <ymAnh qwy
nEm yqAl >nh ydh$k HtY tnZr <lyh,<yh qAl lk ydh$k HtY txzr fyh,|h qlk >k ydh$ HtY txzr mEAh,>y w byqwlw >nw byfAj>k <*A btETlE fyw,|h bynqAl Anh bylft AntbAhk E$An ttTlE Elyh
mA*A,wA$,w$,$w,Ay$
yqAl HtY w <n kAn ldyk <ymAn jdA w tqwl ln >ftn,yqwl lk HtY Endk <ymAn SHyH bzAf tqwl mA rAny$ rAyH ntftn,yqlk HtY Endk <ymAn qAwy xlAh tqwl m$ny rAyH ntftn,wbynqAl HtY lw kAn Endk <ymAn qwy w btqwl >nw mAbnsHr,bynqAl HtY w <*A kAn Endk <ymAn ktyr w btqwl m$ rAH >ftn
yqAl >hrb <lY >qSY Hd، hw hnA w >nt <*hb bEydA jdA ymkn >n tqwl ldy <ymAn w ymkn >lA >ftn,yqwl lk >hrb lw mAksymwm hw hnA >nt rwH lhyk qAE >hrb qAdr tqwl >nt Endy <ymAn nqdr mA ntftn$,yqlk >hrb lw mAksymwm hw hnA >nt rwH >k xlAh >hrb qAdr tqwl >nt Endy <ymAn qAdr mA ntftn$,bynqAl hrwb l>bEd mAbtqdr w >nt rwH bEyd ktyr fyk tqwl Endy <ymAn w ymkn,bynqAl >hrb <lY >qSY Hd hw hAn w >nt rwH bEyd ktyr ymkn Ank tqwl Endy <ymAn w ymkn m$ rAH >ftn
yqAl ymknh >n yftn >y $xS,yqwl lk qAdr yftn >y wAHd,yqlk qAdr yftn >y wAHd,bynqAl hrwb l>bEd mAbtqdr w >nt rwH bEyd ktyr fyk tqwl Endy <ymAn w ymkn,bynqAl byqdr Anh yftn >y wAHd
mA*A yfEl lk؟,wA$ ydyr lk,w$ ydyrlk,wbynqAl >nw byqdr yftn >y $xS,bynqAl byqdr Anh yftn >y wAHd
>bwk myt yHDrh lk >ETAh Allh h*h Alqdrp,bAbAk myt yHyyh lk rby mdh lh  AlbwfwAr hdA,bAbAk myt yHyyhwlk >w mdhwlw rby AlbwfwAr >dA,$w byEmlk,Ay$ byEmlk
ymkn >y yHDrh lk,yqdr yjybh lk,bAbAk myt yHyyhwlk >w mdhwlw rby AlbwfwAr >dA,>bwk myt byHDrlk yAh Allh Ally ETAh hAlqdrp,>bwk myt yjyblk AyAh >ETAh rbnA h*h Alqdrp
lA ywjd,yqdr yjybh lk,qAdr yjybhwlk,>yA HdA fy yHDrlk yAh,ymkn Anh yjyblk AyAh
lA ywjd,mAkAn$,mkAn$,mAfy,mA fy$
lA ymkn >n thrb، stjdh >mAmk,mA tqdr$ thrb  tlqAh qdAmk,mA tqdr$ thrb >k tlqAh qﺪAmk,mAfyk thrb rH tlAqyh qdAmk,m$ mmkn Ank thrb HtlAqyh qdAmk
ymkn >n ynzl kl h*h *hbA,qAdr yhbT lk hdy kAml dhb,qAdr yhbTlk >dy kAmlp dhb,fyw ynzl kl $y dhb,ymkn Anh ynzl kl h*h *hb
yftnk b>y Tryqp mAdmt trAh، y>tyk b>byk، ymkn >n tqwl hw Alrb,yftnk b>y HAjp mAdAm t$wfh yHyylk bAbAk qAdr tqwl hw Alrb,yftnk b>y lqTp mAdAmw t$wfw yHyylk bAbAk qAdr tqwl hw Alrb,bysHrk b>y Tryqp <*A Em t$wfw Em yHDr mE >bwk w btqdr tqwl Anw hwy Alrb,byftnk b>y Tryqp mAdAmk $Ayfh yjyblk >bwk bwhmk Anh hw Al<lh
hl fhmt kyf؟,fhmt kyfA$,fhmty kyfmAh,bysHrk b>y Tryqp <*A Em t$wfw Em yHDr mE >bwk w btqdr tqwl Anw hwy Alrb,Ant fhmt kyf
$xS yqwl >n <ymAnh qwy w yftn,wAHd yqwl AlAymAn tAEh SHyH ytftn,wAHd yqwl  AlAymAn tyEw qAwy ySdq,fhmt kyf,Ant fhmt kyf
yjb >n thrb,lAzm thrb,lAzm thrb,HdA byqwl >nw <ymAnw qwy w bynsHr,wAHd byqwl Anh <ymAnh qwy w yftn
mE <ymAnnA h*A ، flyHfZnA Allh,mE AlAymAn tAEnA hdA rby ystr,lAzm thrb,lAzm thrb,lAzm t$rd
hnAk dEA' yqAl,mE AlAymAn tAEnA hdA rby ystr,AlAymAn tEnA AdA rby ystr,mE <ymAnnA hAdA flyHfZnA Allh,mE <ymAnnA h*A Allh yHfZnA
hnAk dEA' yqAl,kAyn dEA' yqwl lk  tqwlh,Aw kAyn dEA' yqlk dEA' ﺗqﻮlw,fy dEA' bynqAl dEA' bynqAl,fy dEA' bynqAl dEA' bynqAl
tqwlh bEd Al$hAdtyn,tqwlh mwr Al$hAdtyn,>dy ﺗqﻮlhA mn wrA Al$hAdtyn,btqwlw bEd Al$hAdtyn,tqwlh bEd Al$hAdtyn
hnAk h*A w hnAk dEA' |xr,kAyn hdA wkAyn dEA' wHdAxr,kAyn >dA wAkAyn dEA' wHdwxr,fy hAdA w fy dEA' tAny,fy h*A w fy dEA' tAny
tmwt fbl >n y>ty,tmwt qbl mA yjy hw,tmwt qbl mA yjy hwA,rH tmwt qbl mAyjy hwy,tmwt qbl mA yjy hw
nEm ftnp AlmsyH AldjAl,<yh ftnp AlmsyH AldjAl,|h ftnp AlmsyH AldjAl,rH tmwt qbl mAyjy hwy,|h ftnp AlmsyH AldjAl
swrp Alkhf >yDA tjnbk hy >yDA,swrp Alkhf HtY hy tjnbk,swrp Alkhf HtY hy  tjnbk,nEm hAd sHr AlmsyH AldjAl,|h ftnp AlmsyH AldjAl
yqAl lw yErf mA*A tHb,yqwl lk lwkAn yErf wA$ tHb >nt,yqlk >w kwn yErf w$ tHb >nt,swrp Alkhf kmAn btHmyk,swrp Alkhf btHmyk kmAn
$xS yHb AlmAl yETyh AlmAl,wAHd yHb AldrAhm yETy lh AldrAhm,yqlk >w kwn yErf w$ tHb >nt,bynqAl lw >nw byErf $w btHb,bynqAl lw yErf Ay$ btHb
wAldAk myytAn yHyyhmA lk,wAHd yHb AldrAhm yETy lh AldrAhm,wAHd yHb AlswArd yETylh AlswArd,HdA byHb AlmSAry byETyh AlmSAry,wAHd byHb AlmSAry byETyh AlmSAry
wAldAk myytAn yHyyhmA lk,wAldyk mytyn yHyyhm lk,wAldyk mytyn yHyyhmlk,wAldynk Almytyn byHyyhm l>lk,wAldyk mytyn byHyylk AyAhm
>nA mstyqZ mn* AlrAbEp,mn AlrbEp wAnA nAyD,mn AlrbEp wAnA nAyD,>nA fAyq mn Al>rbEp,>nA SAHy mn Al>rbEp
xrjt Alywm ElY AlvAnyp w AlnSf,xrjt Alywm ElY Alzwj w nS,xrjt lywm ElY AlsAEtyn w nS,TlEt Alywm EAlsAEp tntyn w nS,TlEt Alywm ElY Altntyn w nS
*hbt lHlq $Ery w SEdt llmnzl <nthY Alywm,xrjt Hfft TlEt lldAr xlAS AlnhAr,xrjt Hfft TlEt lldAr fD Aljwrny,rHt Alywm l>Hlq $Ery TlEt EAlbyt w xlS AlnhAr,rHt >Hlq $Ery w TlEt EAlbyt xlS Alywm
r>sy yilmny w lkny lA >ryd Alnwm,rAsy ywjE bAlSH mA rAny$ HAb nrqd,rAsy ywjE bSH m$ny HAb nrqd,rHt Alywm l>Hlq $Ery TlEt EAlbyt w xlS AlnhAr,rAsy ybyjEny w bs mA bdy$ >nAm
s>nAm HwAly AlHAdyp E$rp  HAn Alwqt,jwAyh lHdA$ hkAk nrqd Alwqt hdAk hw,>ny jwAyh lHdA$ >dykA nrqd >w wqthA,rAsy Em ywjEny bs mAbdy nAm,rAsy ybyjEny w bs mA bdy$ >nAm
w mtY wqEt lk؟,wqtA$ SrAtlk hdy,wqthA >dy SrAtlk,EAlsAEp AydE$ bnAm >nw wqthA,HwAly Al<HdAE$ bnAm h*A wqthA
<nh Al>rq kmA yqAl ، mtEb jdA w lA tsTyE Alnwm,kymA nqwlw >rq EyAn bzAf w mA tqdr$ trqd,wqthA >dy SrAtlk,w>ymt SAr mEk hyk,w AmtY SArtlk
nEm SHyH <nhA mDrp,kymA nqwlw >rq EyAn bzAf w mA tqdr$ trqd,kymA nqwlw >rq tEbAn xlAh w mA tqdr$ trqd,hAdA Al>rq bynqAl >nw bytEb ktyr w mA btqdr tnAm,h*A Al>rq zy mA bynqAl bytEb ktyr w btqdr$ tnAm
nEm SHyH <nhA mDrp,<yh thlk SH,|h thlk SH,>y mZbwT hy btDr,|h mzbwT hy btDr
tSdq yA >xy h*A mfyd,t|mny  yA xwyA mlyH,Sdq > xwyA mlAH,Sdq yA >xy hAdA mfyd,tSdq yA >xwy h*A mfyd
$xS ytSdq lA ymkn، mmkn >nh <btlA' mn End Allh fqT,wAHd ySdq mAkA$ mnhA bAlAk AbtlA mn End rby brk,wAHd ySdq mkAn$ mnhA blAk AbtlA mn End rby brk,$xS bytSdq mw mEqwl ySyr hAdA blwp mn End Allh bs,wAHd bytSdq m$ mmkn mmkn Anh <btlA' mn End rbnA bs
<bnlA' swA' fElt >w lm tfEl ، jrb >n ttSdq w strY,AbtlA drt wlA mA drt$ syy Sdq w $wf,AbtlA drty wlA mA drty$ jrb Sdq w $wf,blwp <n Emlt wlA mA Emlt HAwl >nk ttSdq w bt$wf,<btlA' swA' Emlt >w mA Emlt$ jrb Anh ttSdq w Ht$wf
>nt،  >nt tElm >nk fElt $y}A,>nt >nt ElY bAlk brwHk drt HAjp,>nt >nt EAbAlk brwHk drty HAjp,blwp <n Emlt wlA mA Emlt HAwl >nk ttSdq w bt$wf,Ant Ant btErf Ank Emlt A$y
AlwAqE >nny lA >Sly kl ywm,AlHq mA nSly$  kl ywm,yAw kl ywm m$ny qﺎEd nSly,>nt btErf >nk Emlt $y,Ant Ant btErf Ank Emlt A$y
SHyH، AlSlAp t&vr fyk >kvr,SH AlSlAp hy Ally t>vr fyk,SH AlSlAp hy Ally t>vr fyk,AlHqyqp >nw mAbSly kl ym,AlSHyH Any mA b>Sly kl ywm
Sdqny ،>nA lA >Sly w AlSlAp t&vr fyk >kvr,mA rAny$ nSly wAllh AlSlAp txlyk twly mnyH,SH AlSlAp hy Ally t>vr fyk,mZbwT AlSlAp bt>vr fyk >ktr,SHyH AlSlAp bt>vr fyk >ktr
